target_id	length	eff_length	est_counts	tpm
cds-YP_081554.1	753	549.361	17	1511.36
cds-YP_081555.1	837	633.361	31	2390.5
cds-YP_081556.1	942	738.361	42	2778.17
cds-YP_081557.1	1278	1074.36	37	1682.01
cds-YP_081558.1	421	219.194	17	3787.9
cds-YP_081558.1_1	617	413.361	24	2835.69
cds-YP_081559.1	606	402.361	1	121.384
cds-YP_081560.1	543	339.456	2	287.755
cds-YP_081561.1	71	5	0.5	4884.02
cds-YP_081561.1_1	185	32.9197	4	5934.47
cds-YP_081561.1_2	1487	1283.36	18	685.017
cds-YP_081563.1	453	250.209	1	195.197
cds-YP_081562.1	71	5	0.5	4884.02
cds-YP_081562.1_1	185	32.9197	4	5934.47
cds-YP_081562.1_2	1220	1016.36	83	3988.48
cds-YP_081565.1	645	441.361	12	1327.9
cds-YP_081566.1	236	59.9786	2	1628.59
cds-YP_081566.1_1	154	20.932	1	2333.28
cds-YP_081567.1	813	609.361	322	25808.3
cds-YP_081568.1	951	747.361	316	20650.7
cds-YP_081569.1	228	55.0878	29	25711.1
cds-YP_081570.1	480	276.743	17	3000.19
cds-YP_081571.1	363	163.548	0	0
cds-YP_081572.1	393	192.317	66	16761.2
cds-YP_081573.1	531	327.503	52	7754.72
cds-YP_004940331.1	343	145.374	1.17681	395.365
cds-YP_004940331.1_1	473	269.856	23.6161	4274.2
cds-YP_081574.1	918	714.361	1	68.3691
cds-YP_081575.1	1017	813.361	33	1981.56
cds-YP_081576.1	576	372.361	4	524.654
cds-YP_081577.1	417	215.373	8	1814.16
cds-YP_081578.1	510	306.545	121	19278.3
cds-YP_081579.1	723	519.361	122	11472.8
cds-YP_081580.1	927	723.361	100	6751.85
cds-YP_081581.1	774	570.361	80	6850.43
cds-YP_081582.1	243	64.701	28	21136.1
cds-YP_081583.1	243	64.701	9	6793.74
cds-YP_081584.1	234	58.6871	6	4993.28
cds-YP_081585.1	189	34.7328	6	8437.03
cds-YP_081586.1	1920	1716.36	104.207	2965.28
cds-YP_081587.1	2544	2340.36	0	0
cds-YP_081588.1	471	267.893	0	0
cds-YP_081589.1	600	396.361	0	0
cds-YP_081590.1	561	357.41	0	0
cds-YP_081591.1	549	345.41	0	0
cds-YP_081592.1	678	474.361	1	102.96
cds-YP_081593.1	684	480.361	11	1118.41
cds-YP_081594.1	744	540.361	3	271.153
cds-YP_081595.1	558	354.41	2	275.614
cds-YP_081596.1	648	444.361	35	3846.89
cds-YP_081597.1	846	642.361	143	10872.6
cds-YP_081598.1	786	582.361	108	9057.51
cds-YP_081599.1	933	729.361	101	6763.26
cds-YP_081600.1	789	585.361	69	5757.09
cds-YP_081601.1	930	726.361	76	5110.21
cds-YP_081602.1	882	678.361	8	575.979
cds-YP_081603.1	825	621.361	365	28689.7
cds-YP_081604.1	723	519.361	132	12413.2
cds-YP_081605.1	765	561.361	183	15921.6
cds-YP_081606.1	732	528.361	3	277.312
cds-YP_081607.1	1731	1527.36	138	4412.81
cds-YP_081608.1	1779	1575.36	73	2263.19
cds-YP_081609.1	1506	1302.36	55	2062.57
cds-YP_081610.1	1812	1608.36	52	1579.06
cds-YP_081611.1	1095	891.361	25	1369.82
cds-YP_081612.1	1065	861.361	116	6577.34
cds-YP_081613.1	1389	1185.36	8	329.623
cds-YP_081614.1	1050	846.361	29	1673.48
cds-YP_081615.1	486	282.705	27	4664.53
cds-YP_081616.1	552	348.41	15	2102.71
cds-YP_004940332.1	174	28.375	20	34424.8
cds-YP_081617.1	492	288.666	86	14550.6
cds-YP_081618.1	195	37.6761	9	11666.9
cds-YP_081619.1	2367	2163.36	41	925.619
